Tx,Ty,Tn,Ti,Nx,Ny,Ni,Nn,Kx,Ky,time_ms
16,16,16,8,224,224,256,256,3,3,297.474000
16,16,16,8,224,112,64,64,3,3,10.237000
16,16,16,8,224,112,128,128,3,3,36.991000
16,16,16,8,224,112,256,256,3,3,151.301000
16,16,16,8,224,56,64,64,3,3,5.169000
16,16,16,8,224,56,128,128,3,3,19.253000
16,16,16,8,224,56,256,256,3,3,75.046000
16,16,16,8,224,28,64,64,3,3,2.727000
16,16,16,8,224,28,128,128,3,3,10.449000
16,16,16,8,224,28,256,256,3,3,37.882000
16,16,16,8,112,224,64,64,3,3,10.067000
16,16,16,8,112,224,128,128,3,3,37.107000
16,16,16,8,112,224,256,256,3,3,150.457000
16,16,16,8,112,112,64,64,3,3,5.175000
16,16,16,8,112,112,128,128,3,3,19.802000
16,16,16,8,112,112,256,256,3,3,75.059000
16,16,16,8,112,56,64,64,3,3,2.612000
16,16,16,8,112,56,128,128,3,3,10.102000
16,16,16,8,112,56,256,256,3,3,39.825000
16,16,16,8,112,28,64,64,3,3,1.444000
16,16,16,8,112,28,128,128,3,3,5.563000
16,16,16,8,112,28,256,256,3,3,19.964000
16,16,16,8,56,224,64,64,3,3,5.325000
16,16,16,8,56,224,128,128,3,3,19.369000
16,16,16,8,56,224,256,256,3,3,76.314000
16,16,16,8,56,112,64,64,3,3,2.756000
16,16,16,8,56,112,128,128,3,3,10.497000
16,16,16,8,56,112,256,256,3,3,39.867000
16,16,16,8,56,56,64,64,3,3,1.470000
16,16,16,8,56,56,128,128,3,3,5.541000
16,16,16,8,56,56,256,256,3,3,21.254000
16,16,16,8,56,28,64,64,3,3,0.884000
16,16,16,8,56,28,128,128,3,3,3.116000
16,16,16,8,56,28,256,256,3,3,11.163000
16,16,16,8,28,224,64,64,3,3,2.791000
16,16,16,8,28,224,128,128,3,3,10.589000
16,16,16,8,28,224,256,256,3,3,39.594000
16,16,16,8,28,112,64,64,3,3,1.462000
16,16,16,8,28,112,128,128,3,3,5.518000
16,16,16,8,28,112,256,256,3,3,21.165000
16,16,16,8,28,56,64,64,3,3,0.932000
16,16,16,8,28,56,128,128,3,3,2.931000
16,16,16,8,28,56,256,256,3,3,11.081000
16,16,16,8,28,28,64,64,3,3,0.554000
16,16,16,8,28,28,128,128,3,3,1.823000
16,16,16,8,28,28,256,256,3,3,6.117000
16,16,16,16,224,224,64,64,3,3,20.175000
16,16,16,16,224,224,128,128,3,3,74.512000
16,16,16,16,224,224,256,256,3,3,293.572000
16,16,16,16,224,112,64,64,3,3,10.194000
16,16,16,16,224,112,128,128,3,3,38.764000
16,16,16,16,224,112,256,256,3,3,149.536000
16,16,16,16,224,56,64,64,3,3,5.158000
16,16,16,16,224,56,128,128,3,3,20.339000
16,16,16,16,224,56,256,256,3,3,76.312000
16,16,16,16,224,28,64,64,3,3,2.718000
16,16,16,16,224,28,128,128,3,3,10.512000
16,16,16,16,224,28,256,256,3,3,39.530000
16,16,16,16,112,224,64,64,3,3,10.244000
